"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.7","1017.3","1015.5","2019-03-01 08:35","1011.9","2019-03-01 13:35","19.5","22.5","2019-03-01 12:40","17.6","2019-03-01 00:27","15.6","79","70","2019-03-01 12:39","3.9","90","14.4","70","2019-03-01 11:45","0.0","0.0","0.0","2019-03-01 00:00","0.0","2019-03-01 00:00","1.7","14.7","10.07","14.5","2.2","8","2019-03-01 13:00","8.6"
"02","1009.6","1013.2","1013.0","2019-03-02 00:01","1007.2","2019-03-02 14:09","21.9","27.8","2019-03-02 11:41","19.1","2019-03-02 02:03","17.5","76","58","2019-03-02 11:34","1.6","130","8.2","290","2019-03-02 14:48","0.0","0.0","0.0","2019-03-02 00:00","0.0","2019-03-02 00:00","4.1","35.4","13.23","7.0","2.6","8","2019-03-02 12:00","5.8"
"03","1008.0","1011.6","1011.2","2019-03-03 23:46","1005.4","2019-03-03 05:43","18.9","21.4","2019-03-03 00:02","16.7","2019-03-03 14:05","16.6","86","79","2019-03-03 00:01","1.4","100","11.8","20","2019-03-03 12:32","8.5","5.5","1.0","2019-03-03 12:44","3.5","2019-03-03 12:33","0.0","0.0","1.26","7.9","-0.6","2","2019-03-03 12:00","10.0"
"04","1013.1","1016.7","1015.1","2019-03-04 21:37","1010.4","2019-03-04 02:08","18.4","22.2","2019-03-04 13:06","17.0","2019-03-04 02:36","12.9","71","56","2019-03-04 14:23","4.1","80","15.3","110","2019-03-04 18:20","0.0","0.0","0.0","2019-03-04 00:00","0.0","2019-03-04 00:00","5.7","49.0","16.29","25.0","4.1","9","2019-03-04 13:00","5.9"
"05","1010.8","1014.4","1014.1","2019-03-05 00:01","1006.3","2019-03-05 15:04","19.9","26.9","2019-03-05 14:38","16.4","2019-03-05 19:19","14.1","70","52","2019-03-05 15:24","3.6","80","12.6","110","2019-03-05 01:40","0.9","4.3","0.4","2019-03-05 22:10","0.4","2019-03-05 22:10","2.3","19.7","11.87","17.9","-0.4","7","2019-03-05 12:00","7.7"
"06","1012.1","1015.7","1016.3","2019-03-06 23:48","1009.6","2019-03-06 03:33","17.9","21.1","2019-03-06 10:08","15.0","2019-03-06 23:07","15.4","85","75","2019-03-06 14:41","1.7","100","10.3","80","2019-03-06 16:33","10.5","17.3","1.5","2019-03-06 17:23","2.5","2019-03-06 17:07","0.6","5.1","4.00","20.8","-1.2","4","2019-03-06 11:00","9.8"
"07","1017.1","1020.8","1019.0","2019-03-07 22:56","1014.9","2019-03-07 03:19","13.5","15.4","2019-03-07 00:38","12.1","2019-03-07 20:35","11.7","88","84","2019-03-07 13:31","3.6","100","11.8","100","2019-03-07 11:19","26.4","24.0","1.5","2019-03-07 08:55","3.6","2019-03-07 08:27","0.0","0.0","1.40","4.8","-0.1","1","2019-03-07 13:00","10.0"
"08","1015.0","1018.6","1018.3","2019-03-08 09:38","1011.3","2019-03-08 23:19","15.3","17.9","2019-03-08 20:53","12.4","2019-03-08 00:05","13.7","91","88","2019-03-08 00:01","4.0","80","11.8","70","2019-03-08 19:00","17.8","19.3","1.0","2019-03-08 00:47","3.0","2019-03-08 02:06","0.0","0.0","3.40","11.8","-0.8","2","2019-03-08 13:00","9.8"
"09","1009.0","1012.6","1012.3","2019-03-09 01:19","1006.1","2019-03-09 18:45","17.8","19.5","2019-03-09 13:27","16.4","2019-03-09 06:24","16.9","94","90","2019-03-09 00:01","0.8","230","4.0","260","2019-03-09 01:12","43.5","24.0","1.5","2019-03-09 09:00","6.0","2019-03-09 08:40","0.0","0.0","3.40","3.9","/","4","2019-03-09 13:00","10.0"
"10","1010.0","1013.6","1012.9","2019-03-10 20:55","1007.3","2019-03-10 00:03","16.9","19.5","2019-03-10 08:32","15.7","2019-03-10 13:52","15.1","89","75","2019-03-10 23:59","1.5","160","7.2","310","2019-03-10 00:31","19.1","13.6","1.8","2019-03-10 00:40","6.2","2019-03-10 00:35","0.6","5.1","2.32","20.3","-1.7","1","2019-03-10 10:00","9.9"
